dateTime,next
2000-01-02 04:20:00,2000-01-02 04:40:00
2000-01-02 04:40:00,2000-01-02 05:00:00
2000-01-02 05:00:00,2000-01-02 05:20:00
2000-01-02 05:20:00,2000-01-02 05:40:00
2000-01-02 05:40:00,2000-01-02 06:00:00
2000-01-02 06:00:00,2000-01-02 06:20:00
2000-01-02 06:20:00,2000-01-02 06:40:00
2000-01-02 06:40:00,2000-01-02 07:00:00
2000-01-02 07:00:00,2000-01-02 07:20:00
2000-01-02 07:20:00,2000-01-02 07:40:00
2000-01-02 07:40:00,2000-01-02 08:00:00
2000-01-02 08:00:00,2000-01-02 08:20:00
2000-01-02 08:20:00,2000-01-02 08:40:00
2000-01-02 08:40:00,2000-01-02 09:00:00
2000-01-02 09:00:00,2000-01-02 09:20:00
2000-01-02 09:20:00,2000-01-02 09:40:00
2000-01-02 09:40:00,2000-01-02 10:00:00
2000-01-02 10:00:00,2000-01-02 10:20:00
2000-01-02 10:20:00,2000-01-02 10:40:00
2000-01-02 10:40:00,2000-01-02 11:00:00
2000-01-02 11:00:00,2000-01-02 11:20:00
2000-01-02 11:20:00,2000-01-02 11:40:00
2000-01-02 11:40:00,2000-01-02 12:00:00
2000-01-02 12:00:00,2000-01-02 12:20:00
2000-01-02 12:20:00,2000-01-02 12:40:00
2000-01-02 12:40:00,2000-01-02 13:00:00
2000-01-02 13:00:00,2000-01-02 13:20:00
2000-01-02 13:20:00,2000-01-02 13:40:00
2000-01-02 13:40:00,2000-01-02 14:00:00
2000-01-02 14:00:00,2000-01-02 14:20:00
2000-01-02 14:20:00,2000-01-02 14:40:00
2000-01-02 14:40:00,2000-01-02 15:00:00
2000-01-02 15:00:00,2000-01-02 15:20:00
2000-01-02 15:20:00,2000-01-02 15:40:00
2000-01-02 15:40:00,2000-01-02 16:00:00
2000-01-02 16:00:00,2000-01-02 16:20:00
2000-01-02 16:20:00,2000-01-02 16:40:00
2000-01-02 16:40:00,2000-01-02 17:00:00
2000-01-02 17:00:00,2000-01-02 17:20:00
2000-01-02 17:20:00,2000-01-02 17:40:00
2000-01-02 17:40:00,2000-01-02 18:00:00
2000-01-02 18:00:00,2000-01-02 18:20:00
2000-01-02 18:20:00,2000-01-02 18:40:00
2000-01-02 18:40:00,2000-01-02 19:00:00
2000-01-02 19:00:00,2000-01-02 19:20:00
2000-01-02 19:20:00,2000-01-02 19:40:00
2000-01-02 19:40:00,2000-01-02 20:00:00
2000-01-02 20:00:00,2000-01-02 20:20:00
2000-01-02 20:20:00,2000-01-02 20:40:00
2000-01-02 20:40:00,2000-01-02 21:00:00
2000-01-02 21:00:00,
